German	English	Persian	Gender	Article	Plural	Cases	Example
Idee	idea	ایده	Feminin	die	die Ideen	[Nom] [Akk] [Dat] [Gen]	—
Meinung	opinion	نظر	Feminin	die	die Meinungen	[Nom] [Akk] [Dat] [Gen]	—
Welt	world	جهان	Feminin	die	die Welten	[Nom] [Akk] [Dat] [Gen]	—
Sprache	language	زبان	Feminin	die	die Sprachen	[Nom] [Akk] [Dat] [Gen]	—
Frühstück	breakfast	صبحانه	Neutral	das	die Frühstücke	[Nom] [Akk] [Dat] [Gen]	—
Licht	light	نور	Neutral	das	die Lichter	[Nom] [Akk] [Dat] [Gen]	—
Leben	life	زندگی	Neutral	das	die Leben	[Nom] [Akk] [Dat] [Gen]	—
Problem	problem	مشکل	Neutral	das	die Probleme	[Nom] [Akk] [Dat] [Gen]	—
Wort	word	کلمه	Neutral	das	die Wörter	[Nom] [Akk] [Dat] [Gen]	—
Mut	courage	شجاعت	Maskulin	der	die Mute	[Nom] [Akk] [Dat] [Gen]	—
Stolz	pride	غرور	Maskulin	der	die Stolze	[Nom] [Akk] [Dat] [Gen]	—
Zorn	anger	خشم	Maskulin	der	die Zorne	[Nom] [Akk] [Dat] [Gen]	—
Zweifel	doubt	شک	Maskulin	der	die Zweifel	[Nom] [Akk] [Dat] [Gen]	—
Angst	fear	ترس	Feminin	die	die Ängste	[Nom] [Akk] [Dat] [Gen]	—
Dankbarkeit	gratitude	قدردانی	Feminin	die	die Dankbarkeiten	[Nom] [Akk] [Dat] [Gen]	—
Einsamkeit	loneliness	تنهایی	Feminin	die	die Einsamkeiten	[Nom] [Akk] [Dat] [Gen]	—
Enttäuschung	disappointment	ناامیدی	Feminin	die	die Enttäuschungen	[Nom] [Akk] [Dat] [Gen]	—
Freude	joy	شادی	Feminin	die	die Freuden	[Nom] [Akk] [Dat] [Gen]	—
Hoffnung	hope	امید	Feminin	die	die Hoffnungen	[Nom] [Akk] [Dat] [Gen]	—
Langeweile	boredom	خستگی/بی‌حوصلگی	Feminin	die	die Langeweilen	[Nom] [Akk] [Dat] [Gen]	—
Nervosität	nervousness	عصبیت	Feminin	die	die Nervositäten	[Nom] [Akk] [Dat] [Gen]	—
Überraschung	surprise	تعجب	Feminin	die	die Überraschungen	[Nom] [Akk] [Dat] [Gen]	—
Wut	rage	خشم	Feminin	die	die Wuten	[Nom] [Akk] [Dat] [Gen]	—
Zufriedenheit	satisfaction	رضایت	Feminin	die	die Zufriedenheiten	[Nom] [Akk] [Dat] [Gen]	—
Glück	happiness	خوشبختی	Neutral	das	die Glücke	[Nom] [Akk] [Dat] [Gen]	—
Interesse	interest	علاقه	Neutral	das	die Interessen	[Nom] [Akk] [Dat] [Gen]	—
Gefühle	feelings	احساسات	Plural	die	—	[Nom] [Akk] [Dat] [Gen]	—
glücklich	happy	خوشحال	Adjektiv	—	—	—	—
traurig	sad	غمگین	Adjektiv	—	—	—	—
müde	tired	خسته	Adjektiv	—	—	—	—
wütend	angry	عصبانی	Adjektiv	—	—	—	—
nervös	nervous	عصبی	Adjektiv	—	—	—	—
mutig	brave	شجاع	Adjektiv	—	—	—	—
stolz	proud	مغرور	Adjektiv	—	—	—	—
dankbar	grateful	قدردان	Adjektiv	—	—	—	—
einsam	lonely	تنها	Adjektiv	—	—	—	—
verliebt	in love	عاشق	Adjektiv	—	—	—	—
enttäuscht	disappointed	ناامید	Adjektiv	—	—	—	—
überrascht	surprised	متعجب	Adjektiv	—	—	—	—
gelangweilt	bored	خسته/بی‌حوصله	Adjektiv	—	—	—	—
aufgeregt	excited	هیجان‌زده	Adjektiv	—	—	—	—
ruhig	calm	آرام	Adjektiv	—	—	—	—
zufrieden	satisfied	راضی	Adjektiv	—	—	—	—
unzufrieden	dissatisfied	ناراضی	Adjektiv	—	—	—	—
Medikament	medication	دارو	Maskulin	der	die Medikamente	[Nom] [Akk] [Dat] [Gen]	—
Rezept	prescription	نسخه	Maskulin	der	die Rezepte	[Nom] [Akk] [Dat] [Gen]	—
Verband	bandage	بانداژ	Maskulin	der	die Verbände	[Nom] [Akk] [Dat] [Gen]	—
Kopfschmerzen	headache	سردرد	Maskulin	der	die Kopfschmerzen	[Nom] [Akk] [Dat] [Gen]	—
Bauchschmerzen	stomachache	درد شکم	Maskulin	der	die Bauchschmerzen	[Nom] [Akk] [Dat] [Gen]	—
Halsschmerzen	sore throat	گلو درد	Maskulin	der	die Halsschmerzen	[Nom] [Akk] [Dat] [Gen]	—
Grippe	flu	آنفلوانزا	Maskulin	der	die Grippe	[Nom] [Akk] [Dat] [Gen]	—
Zahnarzt	dentist	دندانپزشک	Maskulin	der	die Zahnärzte	[Nom] [Akk] [Dat] [Gen]	—
Apotheker	pharmacist	داروساز	Maskulin	der	die Apotheker	[Nom] [Akk] [Dat] [Gen]	—
Ärztin	female doctor	پزشک (زن)	Feminin	die	die Ärztinnen	[Nom] [Akk] [Dat] [Gen]	—
Apotheke	pharmacy	داروخانه	Feminin	die	die Apotheken	[Nom] [Akk] [Dat] [Gen]	—
Wunde	wound	زخم	Feminin	die	die Wunden	[Nom] [Akk] [Dat] [Gen]	—
Behandlung	treatment	درمان	Feminin	die	die Behandlungen	[Nom] [Akk] [Dat] [Gen]	—
Untersuchung	examination	معاینه	Feminin	die	die Untersuchungen	[Nom] [Akk] [Dat] [Gen]	—
Spritze	injection	تزریق	Feminin	die	die Spritzen	[Nom] [Akk] [Dat] [Gen]	—
Salbe	ointment	پماد	Feminin	die	die Salben	[Nom] [Akk] [Dat] [Gen]	—
Krankenhaus	hospital	بیمارستان	Neutral	das	die Krankenhäuser	[Nom] [Akk] [Dat] [Gen]	—
Fieber	fever	تب	Neutral	das	die Fieber	[Nom] [Akk] [Dat] [Gen]	—
Tabletten	tablets/pills	قرص‌ها	Plural	die	—	[Nom] [Akk] [Dat] [Gen]	—
Charakter	character	شخصیت	Maskulin	der	die Charaktere	[Nom] [Akk] [Dat] [Gen]	—
Mut	courage	شجاعت	Maskulin	der	die Mute	[Nom] [Akk] [Dat] [Gen]	—
Fleiß	diligence	سختکوشی	Maskulin	der	die Fleiße	[Nom] [Akk] [Dat] [Gen]	—
Eigenschaft	quality/trait	ویژگی	Feminin	die	die Eigenschaften	[Nom] [Akk] [Dat] [Gen]	—
Intelligenz	intelligence	هوش	Feminin	die	die Intelligenzen	[Nom] [Akk] [Dat] [Gen]	—
freundlich	friendly	مهربان	Adjektiv	—	—	—	—
nett	nice	مهربان	Adjektiv	—	—	—	—
lustig	funny	بامزه	Adjektiv	—	—	—	—
ehrlich	honest	صادق	Adjektiv	—	—	—	—
pünktlich	punctual	وقت‌شناس	Adjektiv	—	—	—	—
fleißig	diligent	سختکوش	Adjektiv	—	—	—	—
faul	lazy	تنبل	Adjektiv	—	—	—	—
intelligent	intelligent	باهوش	Adjektiv	—	—	—	—
klug	smart	باهوش	Adjektiv	—	—	—	—
dumm	stupid	احمق	Adjektiv	—	—	—	—
stark	strong	قوی	Adjektiv	—	—	—	—
schwach	weak	ضعیف	Adjektiv	—	—	—	—
groß	big/tall	بزرگ/بلند	Adjektiv	—	—	—	—
klein	small	کوچک	Adjektiv	—	—	—	—
dick	fat/thick	چاق/کلفت	Adjektiv	—	—	—	—
dünn	thin	لاغر/نازک	Adjektiv	—	—	—	—
alt	old	پیر	Adjektiv	—	—	—	—
jung	young	جوان	Adjektiv	—	—	—	—
Ehemann	husband	شوهر	Maskulin	der	die Ehemänner	[Nom] [Akk] [Dat] [Gen]	—
Stiefvater	stepfather	ناپدری	Maskulin	der	die Stiefväter	[Nom] [Akk] [Dat] [Gen]	—
Enkel	grandson	نوه (پسر)	Maskulin	der	die Enkel	[Nom] [Akk] [Dat] [Gen]	—
Urenkel	great-grandson	نوه نوه (پسر)	Maskulin	der	die Urenkel	[Nom] [Akk] [Dat] [Gen]	—
Schwiegersohn	son-in-law	داماد	Maskulin	der	die Schwiegersöhne	[Nom] [Akk] [Dat] [Gen]	—
Schwiegervater	father-in-law	پدرشوهر	Maskulin	der	die Schwiegerväter	[Nom] [Akk] [Dat] [Gen]	—
Ehefrau	wife	همسر (زن)	Feminin	die	die Ehefrauen	[Nom] [Akk] [Dat] [Gen]	—
Stiefmutter	stepmother	نامادری	Feminin	die	die Stiefmütter	[Nom] [Akk] [Dat] [Gen]	—
Enkelin	granddaughter	نوه (دختر)	Feminin	die	die Enkelinnen	[Nom] [Akk] [Dat] [Gen]	—
Urenkelin	great-granddaughter	نوه نوه (دختر)	Feminin	die	die Urenkelinnen	[Nom] [Akk] [Dat] [Gen]	—
Schwiegertochter	daughter-in-law	عروس	Feminin	die	die Schwiegertöchter	[Nom] [Akk] [Dat] [Gen]	—
Schwiegermutter	mother-in-law	مادرشوهر	Feminin	die	die Schwiegermütter	[Nom] [Akk] [Dat] [Gen]	—
Stiefkind	stepchild	فرزندخوانده	Neutral	das	die Stiefkinder	[Nom] [Akk] [Dat] [Gen]	—
Geschwisterkind	cousin	پسرخاله/پسرعمو	Neutral	das	die Geschwisterkinder	[Nom] [Akk] [Dat] [Gen]	—
Ausflug	excursion	گردش	Maskulin	der	die Ausflüge	[Nom] [Akk] [Dat] [Gen]	—
Spaziergang	walk	پیاده‌روی	Maskulin	der	die Spaziergänge	[Nom] [Akk] [Dat] [Gen]	—
Wanderweg	hiking trail	مسیر پیاده‌روی	Maskulin	der	die Wanderwege	[Nom] [Akk] [Dat] [Gen]	—
Picknick	picnic	پیکنیک	Maskulin	der	die Picknicks	[Nom] [Akk] [Dat] [Gen]	—
Campingplatz	campsite	محل اردو زدن	Maskulin	der	die Campingplätze	[Nom] [Akk] [Dat] [Gen]	—
Joggen	jogging	دویدن	Maskulin	der	die Joggen	[Nom] [Akk] [Dat] [Gen]	—
Roller	scooter	اسکوتر	Maskulin	der	die Roller	[Nom] [Akk] [Dat] [Gen]	—
Kanu	canoe	قایق کانو	Maskulin	der	die Kanus	[Nom] [Akk] [Dat] [Gen]	—
Fotografie	photography	عکاسی	Feminin	die	die Fotografien	[Nom] [Akk] [Dat] [Gen]	—
Malerei	painting	نقاشی	Feminin	die	die Malereien	[Nom] [Akk] [Dat] [Gen]	—
Zeichnung	drawing	طراحی	Feminin	die	die Zeichnungen	[Nom] [Akk] [Dat] [Gen]	—
Meditation	meditation	مدیتیشن	Feminin	die	die Meditationen	[Nom] [Akk] [Dat] [Gen]	—
Reise	trip	سفر	Feminin	die	die Reisen	[Nom] [Akk] [Dat] [Gen]	—
Wanderschuhe	hiking boots	کفش‌های پیاده‌روی	Feminin	die	die Wanderschuhe	[Nom] [Akk] [Dat] [Gen]	—
Campen	camping	اردو زدن	Neutral	das	die Campen	[Nom] [Akk] [Dat] [Gen]	—
Tanzen	dancing	رقصیدن	Neutral	das	die Tanzen	[Nom] [Akk] [Dat] [Gen]	—
Backen	baking	پختن کیک	Neutral	das	die Backen	[Nom] [Akk] [Dat] [Gen]	—
malen	to paint	نقاشی کردن	Verb	—	—	—	—
zeichnen	to draw	طراحی کردن	Verb	—	—	—	—
singen	to sing	آواز خواندن	Verb	—	—	—	—
tanzen	to dance	رقصیدن	Verb	—	—	—	—
kochen	to cook	آشپزی کردن	Verb	—	—	—	—
backen	to bake	پختن کیک	Verb	—	—	—	—
lesen	to read	خواندن	Verb	—	—	—	—
schreiben	to write	نوشتن	Verb	—	—	—	—
fotografieren	to photograph	عکس گرفتن	Verb	—	—	—	—
reisen	to travel	سفر کردن	Verb	—	—	—	—
wandern	to hike	پیاده‌روی کردن	Verb	—	—	—	—
campen	to camp	اردو زدن	Verb	—	—	—	—
joggen	to jog	دویدن	Verb	—	—	—	—
schwimmen	to swim	شنا کردن	Verb	—	—	—	—
turnen	to do gymnastics	ژیمناستیک کردن	Verb	—	—	—	—
meditieren	to meditate	مدیتیشن کردن	Verb	—	—	—	—
spazieren gehen	to go for a walk	قدم زدن	Verb	—	—	—	—
picknicken	to picnic	پیکنیک کردن	Verb	—	—	—	—
Salz	salt	نمک	Maskulin	der	die Salze	[Nom] [Akk] [Dat] [Gen]	—
Pfeffer	pepper	فلفل	Maskulin	der	die Pfeffer	[Nom] [Akk] [Dat] [Gen]	—
Essig	vinegar	سرکه	Maskulin	der	die Essige	[Nom] [Akk] [Dat] [Gen]	—
Senf	mustard	خردل	Maskulin	der	die Senfe	[Nom] [Akk] [Dat] [Gen]	—
Ketchup	ketchup	کچاپ	Maskulin	der	die Ketchups	[Nom] [Akk] [Dat] [Gen]	—
Reis	rice	برنج	Maskulin	der	die Reis	[Nom] [Akk] [Dat] [Gen]	—
Honig	honey	عسل	Maskulin	der	die Honige	[Nom] [Akk] [Dat] [Gen]	—
Zucker	sugar	شکر	Maskulin	der	die Zucker	[Nom] [Akk] [Dat] [Gen]	—
Nudel	noodle	ماکارونی	Feminin	die	die Nudeln	[Nom] [Akk] [Dat] [Gen]	—
Suppe	soup	سوپ	Feminin	die	die Suppen	[Nom] [Akk] [Dat] [Gen]	—
Salat	salad	سالاد	Feminin	die	die Salate	[Nom] [Akk] [Dat] [Gen]	—
Butter	butter	کره	Feminin	die	die Butter	[Nom] [Akk] [Dat] [Gen]	—
Soße	sauce	سس	Feminin	die	die Soßen	[Nom] [Akk] [Dat] [Gen]	—
Gewürz	spice	ادویه	Feminin	die	die Gewürze	[Nom] [Akk] [Dat] [Gen]	—
Brot	bread	نان	Neutral	das	die Brote	[Nom] [Akk] [Dat] [Gen]	—
Brötchen	bread roll	نان رولی	Neutral	das	die Brötchen	[Nom] [Akk] [Dat] [Gen]	—
Öl	oil	روغن	Neutral	das	die Öle	[Nom] [Akk] [Dat] [Gen]	—
Mehl	flour	آرد	Neutral	das	die Mehl	[Nom] [Akk] [Dat] [Gen]	—
Rezept	recipe	دستور پخت	Neutral	das	die Rezepte	[Nom] [Akk] [Dat] [Gen]	—
Kellner	male waiter	پیشخدمت (مرد)	Maskulin	der	die Kellner	[Nom] [Akk] [Dat] [Gen]	—
Reservierung	reservation	رزرو	Feminin	die	die Reservierungen	[Nom] [Akk] [Dat] [Gen]	—
Speisekarte	menu	منوی غذا	Feminin	die	die Speisekarten	[Nom] [Akk] [Dat] [Gen]	—
Kellnerin	female waiter	پیشخدمت (زن)	Feminin	die	die Kellnerinnen	[Nom] [Akk] [Dat] [Gen]	—
Rechnung	bill	صورتحساب	Feminin	die	die Rechnungen	[Nom] [Akk] [Dat] [Gen]	—
Trinkgeld	tip	انعام	Feminin	die	die Trinkgelder	[Nom] [Akk] [Dat] [Gen]	—
Vorspeise	appetizer	پیش‌غذا	Feminin	die	die Vorspeisen	[Nom] [Akk] [Dat] [Gen]	—
Hauptspeise	main course	غذای اصلی	Feminin	die	die Hauptspeisen	[Nom] [Akk] [Dat] [Gen]	—
Nachtisch	dessert	دسر	Feminin	die	die Nachtische	[Nom] [Akk] [Dat] [Gen]	—
Bestellung	order	سفارش	Feminin	die	die Bestellungen	[Nom] [Akk] [Dat] [Gen]	—
Portion	portion	پرس	Feminin	die	die Portionen	[Nom] [Akk] [Dat] [Gen]	—
Bedienung	service	خدمات	Feminin	die	die Bedienungen	[Nom] [Akk] [Dat] [Gen]	—
Tisch	table	میز	Neutral	das	die Tische	[Nom] [Akk] [Dat] [Gen]	—
Stuhl	chair	صندلی	Neutral	das	die Stühle	[Nom] [Akk] [Dat] [Gen]	—
Salz	salt	نمک	Neutral	das	die Salze	[Nom] [Akk] [Dat] [Gen]	—
Pfeffer	pepper	فلفل	Neutral	das	die Pfeffer	[Nom] [Akk] [Dat] [Gen]	—
Frühstück	breakfast	صبحانه	Neutral	das	die Frühstücke	[Nom] [Akk] [Dat] [Gen]	—
Ingenieur	engineer	مهندس	Maskulin	der	die Ingenieure	[Nom] [Akk] [Dat] [Gen]	—
Anwalt	lawyer	وکیل	Maskulin	der	die Anwälte	[Nom] [Akk] [Dat] [Gen]	—
Richter	judge	قاضی	Maskulin	der	die Richter	[Nom] [Akk] [Dat] [Gen]	—
Feuerwehrmann	firefighter	آتش‌نشان	Maskulin	der	die Feuerwehrmänner	[Nom] [Akk] [Dat] [Gen]	—
Soldat	soldier	سرباز	Maskulin	der	die Soldaten	[Nom] [Akk] [Dat] [Gen]	—
Bäcker	baker	نانوا	Maskulin	der	die Bäcker	[Nom] [Akk] [Dat] [Gen]	—
Metzger	butcher	قصاب	Maskulin	der	die Metzger	[Nom] [Akk] [Dat] [Gen]	—
Mechaniker	mechanic	مکانیک	Maskulin	der	die Mechaniker	[Nom] [Akk] [Dat] [Gen]	—
Apotheker	pharmacist	داروساز	Maskulin	der	die Apotheker	[Nom] [Akk] [Dat] [Gen]	—
Verkäufer	salesman	فروشنده	Maskulin	der	die Verkäufer	[Nom] [Akk] [Dat] [Gen]	—
Krankenpfleger	male nurse	پرستار (مرد)	Maskulin	der	die Krankenpfleger	[Nom] [Akk] [Dat] [Gen]	—
Architekt	architect	معمار	Maskulin	der	die Architekten	[Nom] [Akk] [Dat] [Gen]	—
Polizist	policeman	پلیس	Maskulin	der	die Polizisten	[Nom] [Akk] [Dat] [Gen]	—
Anwältin	female lawyer	وکیل (زن)	Feminin	die	die Anwältinnen	[Nom] [Akk] [Dat] [Gen]	—
Richterin	female judge	قاضی (زن)	Feminin	die	die Richterinnen	[Nom] [Akk] [Dat] [Gen]	—
Feuerwehrfrau	female firefighter	آتش‌نشان (زن)	Feminin	die	die Feuerwehrfrauen	[Nom] [Akk] [Dat] [Gen]	—
Soldatin	female soldier	سرباز (زن)	Feminin	die	die Soldatinnen	[Nom] [Akk] [Dat] [Gen]	—
Bäckerin	female baker	نانوا (زن)	Feminin	die	die Bäckerinnen	[Nom] [Akk] [Dat] [Gen]	—
Metzgerin	female butcher	قصاب (زن)	Feminin	die	die Metzgerinnen	[Nom] [Akk] [Dat] [Gen]	—
Krankenschwester	female nurse	پرستار (زن)	Feminin	die	die Krankenschwestern	[Nom] [Akk] [Dat] [Gen]	—
Architektin	female architect	معمار (زن)	Feminin	die	die Architektinnen	[Nom] [Akk] [Dat] [Gen]	—
Polizistin	female policeman	پلیس (زن)	Feminin	die	die Polizistinnen	[Nom] [Akk] [Dat] [Gen]	—
Ingenieurin	female engineer	مهندس (زن)	Feminin	die	die Ingenieurinnen	[Nom] [Akk] [Dat] [Gen]	—
Zahnärztin	female dentist	دندانپزشک (زن)	Feminin	die	die Zahnärztinnen	[Nom] [Akk] [Dat] [Gen]	—
Apothekerin	female pharmacist	داروساز (زن)	Feminin	die	die Apothekerinnen	[Nom] [Akk] [Dat] [Gen]	—
Verkäuferin	female salesman	فروشنده (زن)	Feminin	die	die Verkäuferinnen	[Nom] [Akk] [Dat] [Gen]	—
Mechanikerin	female mechanic	مکانیک (زن)	Feminin	die	die Mechanikerinnen	[Nom] [Akk] [Dat] [Gen]	—
Straßenbahn	tram	تراموا	Maskulin	der	die Straßenbahnen	[Nom] [Akk] [Dat] [Gen]	—
Roller	scooter	اسکوتر	Maskulin	der	die Roller	[Nom] [Akk] [Dat] [Gen]	—
Helikopter	helicopter	بالگرد	Maskulin	der	die Helikopter	[Nom] [Akk] [Dat] [Gen]	—
Lastwagen	truck	کامیون	Maskulin	der	die Lastwagen	[Nom] [Akk] [Dat] [Gen]	—
ICE	ICE high-speed train	قطار سریع‌السیر	Maskulin	der	die ICEs	[Nom] [Akk] [Dat] [Gen]	—
Roller	scooter	اسکوتر	Maskulin	der	die Roller	[Nom] [Akk] [Dat] [Gen]	—
Fähre	ferry	قایق مسافربری	Feminin	die	die Fähren	[Nom] [Akk] [Dat] [Gen]	—
U-Bahn	subway	مترو	Feminin	die	die U-Bahnen	[Nom] [Akk] [Dat] [Gen]	—
S-Bahn	suburban train	قطار حومه	Feminin	die	die S-Bahnen	[Nom] [Akk] [Dat] [Gen]	—
Straßenbahn	tram	تراموا	Feminin	die	die Straßenbahnen	[Nom] [Akk] [Dat] [Gen]	—
Fahrrad	bicycle	دوچرخه	Neutral	das	die Fahrräder	[Nom] [Akk] [Dat] [Gen]	—
Motorrad	motorcycle	موتورسیکلت	Neutral	das	die Motorräder	[Nom] [Akk] [Dat] [Gen]	—
Taxi	taxi	تاکسی	Neutral	das	die Taxis	[Nom] [Akk] [Dat] [Gen]	—
Flugzeug	airplane	هواپیما	Neutral	das	die Flugzeuge	[Nom] [Akk] [Dat] [Gen]	—
Schiff	ship	کشتی	Neutral	das	die Schiffe	[Nom] [Akk] [Dat] [Gen]	—
Boot	boat	قایق	Neutral	das	die Boote	[Nom] [Akk] [Dat] [Gen]	—
Keller	basement	زیرزمین	Maskulin	der	die Keller	[Nom] [Akk] [Dat] [Gen]	—
Dachboden	attic	زیرشیروانی	Maskulin	der	die Dachböden	[Nom] [Akk] [Dat] [Gen]	—
Treppenhaus	staircase	راه‌پله	Maskulin	der	die Treppenhäuser	[Nom] [Akk] [Dat] [Gen]	—
Aufzug	elevator	آسانسور	Maskulin	der	die Aufzüge	[Nom] [Akk] [Dat] [Gen]	—
Balkon	balcony	بالکن	Maskulin	der	die Balkone	[Nom] [Akk] [Dat] [Gen]	—
Kellerschrank	basement cupboard	کمد زیرزمین	Maskulin	der	die Kellerschränke	[Nom] [Akk] [Dat] [Gen]	—
Terrasse	terrace	تراس	Feminin	die	die Terrassen	[Nom] [Akk] [Dat] [Gen]	—
Wohnung	apartment	آپارتمان	Feminin	die	die Wohnungen	[Nom] [Akk] [Dat] [Gen]	—
Küche	kitchen	آشپزخانه	Feminin	die	die Küchen	[Nom] [Akk] [Dat] [Gen]	—
Garage	garage	گاراژ	Feminin	die	die Garagen	[Nom] [Akk] [Dat] [Gen]	—
Zimmer	room	اتاق	Neutral	das	die Zimmer	[Nom] [Akk] [Dat] [Gen]	—
Bad	bathroom	حمام	Neutral	das	die Bäder	[Nom] [Akk] [Dat] [Gen]	—
Schlafzimmer	bedroom	اتاق خواب	Neutral	das	die Schlafzimmer	[Nom] [Akk] [Dat] [Gen]	—
Wohnzimmer	living room	اتاق نشیمن	Neutral	das	die Wohnzimmer	[Nom] [Akk] [Dat] [Gen]	—
Esszimmer	dining room	اتاق غذاخوری	Neutral	das	die Esszimmer	[Nom] [Akk] [Dat] [Gen]	—
Balkon	balcony	بالکن	Neutral	das	die Balkone	[Nom] [Akk] [Dat] [Gen]	—
Fenster	window	پنجره	Neutral	das	die Fenster	[Nom] [Akk] [Dat] [Gen]	—
Haustür	front door	در ورودی	Neutral	das	die Haustüren	[Nom] [Akk] [Dat] [Gen]	—
Stockwerk	floor/story	طبقه	Plural	die	die Stockwerke	[Nom] [Akk] [Dat] [Gen]	—
Computer	computer	کامپیوتر	Maskulin	der	die Computer	[Nom] [Akk] [Dat] [Gen]	—
Laptop	laptop	لپ‌تاپ	Maskulin	der	die Laptops	[Nom] [Akk] [Dat] [Gen]	—
Drucker	printer	پرینتر	Maskulin	der	die Drucker	[Nom] [Akk] [Dat] [Gen]	—
Bildschirm	screen	صفحه نمایش	Maskulin	der	die Bildschirme	[Nom] [Akk] [Dat] [Gen]	—
Fernseher	TV	تلویزیون	Maskulin	der	die Fernseher	[Nom] [Akk] [Dat] [Gen]	—
USB-Stick	USB stick	فلش USB	Maskulin	der	die USB-Sticks	[Nom] [Akk] [Dat] [Gen]	—
Lautsprecher	speaker	بلندگو	Maskulin	der	die Lautsprecher	[Nom] [Akk] [Dat] [Gen]	—
Kopfhörer	headphones	هدفون	Maskulin	der	die Kopfhörer	[Nom] [Akk] [Dat] [Gen]	—
Kamera	camera	دوربین	Feminin	die	die Kameras	[Nom] [Akk] [Dat] [Gen]	—
Tastatur	keyboard	صفحه کلید	Feminin	die	die Tastaturen	[Nom] [Akk] [Dat] [Gen]	—
Maus	mouse	ماوس	Feminin	die	die Mäuse	[Nom] [Akk] [Dat] [Gen]	—
Software	software	نرم‌افزار	Feminin	die	die Softwares	[Nom] [Akk] [Dat] [Gen]	—
Website	website	وب‌سایت	Feminin	die	die Websites	[Nom] [Akk] [Dat] [Gen]	—
Mikrofon	microphone	میکروفن	Feminin	die	die Mikrofone	[Nom] [Akk] [Dat] [Gen]	—
Webcam	webcam	وب‌کم	Feminin	die	die Webcams	[Nom] [Akk] [Dat] [Gen]	—
Festplatte	hard drive	هارد دیسک	Feminin	die	die Festplatten	[Nom] [Akk] [Dat] [Gen]	—
Batterie	battery	باتری	Feminin	die	die Batterien	[Nom] [Akk] [Dat] [Gen]	—
Tastatur	keyboard	صفحه کلید	Feminin	die	die Tastaturen	[Nom] [Akk] [Dat] [Gen]	—
Tablet	tablet	تبلت	Neutral	das	die Tablets	[Nom] [Akk] [Dat] [Gen]	—
Smartphone	smartphone	اسمارت‌فون	Neutral	das	die Smartphones	[Nom] [Akk] [Dat] [Gen]	—
Handy	mobile phone	موبایل	Neutral	das	die Handys	[Nom] [Akk] [Dat] [Gen]	—
Telefon	phone	تلفن	Neutral	das	die Telefone	[Nom] [Akk] [Dat] [Gen]	—
Chat	chat	چت	Neutral	das	die Chats	[Nom] [Akk] [Dat] [Gen]	—
Programm	program	برنامه	Neutral	das	die Programme	[Nom] [Akk] [Dat] [Gen]	—
Ladegerät	charger	شارژر	Neutral	das	die Ladegeräte	[Nom] [Akk] [Dat] [Gen]	—
Internet	internet	اینترنت	Neutral	das	die Internet	[Nom] [Akk] [Dat] [Gen]	—
Video	video	ویدیو	Neutral	das	die Videos	[Nom] [Akk] [Dat] [Gen]	—
Radio	radio	رادیو	Neutral	das	die Radios	[Nom] [Akk] [Dat] [Gen]	—
